Object ID,DepartmentCategorical,Object Name,Title,CultureCategorical,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,CountryCategorical
363070,9,print,"view of the basilica of san sebastiano fuori delle mura [st. sebastian outside the walls] on the appian way, from vedute di roma (roman views)",9,italian,1745,1755,etching; first state of four (hind),"gift of mrs. david keppel, 1960",8
363754,9,drawing,design for pointed utensil with an egyptian style figure on the handle,9,italian,1548,1612,"pen and brown ink, brush and brown wash, over black chalk.","mrs. regina slatkin, 1963",8
365646,9,drawing,saint paul,9,italian,1591,1666,"pen and brown ink, brush and brown ink, over lead point or graphite.","gift of cornelius vanderbilt, 1880",8
367617,9,drawing ornament & architecture,francis w. little house: furniture plan,0,american,1908,1914,graphite and orange and brown pencil,"purchase, emily crane chadborne bequest, 1972",0
371229,9,print,"theodoric iv from the series counts and countesses of holland, zeeland, and west-frisia",-1,dutch,1650,1650,engraving and etching; second state of three,"gift of mrs. hugo elliot, 1941",-1
377953,9,book,l'art de bâtir des maisons de campagne,11,french,1743,1743,printed book with engraved illustrations,"rogers fund, 1952",10
378518,9,drawing,"design for vis-à-vis, no. 3223",0,american,1876,1866,"pen and black ink, watercolor and gouache with gum arabic","gift of william brewster, 1923",0
378914,9,drawing,"design for pony phaeton, no. 3162",0,american,1875,1875,"pen and black ink, watercolor and gouache","gift of william brewster, 1923",0
386510,9,drawing ; ornament and architecture,"ceiling design, half of a circle",8,british,1800,1899,watercolor with gold,"gift of the royal institute of british architects, 1961",7
391909,9,print,canal with an angler and two swans,-1,dutch,1643,1653,etching and drypoint; second of two states,"h. o. havemeyer collection, bequest of mrs. h. o. havemeyer, 1929",-1
396269,9,print,geryon,0,american,1957,1957,"etching, aquatint and drypoint; states 1-8","john b. turner fund, 2011",0
397577,9,print,"syzygy or the conjunction of the macrocosmic unity with the microcosmic triunity from heinrich khunrath, amphiteatrum sapientiae aeternae",3,german,1535,1611,engraving from a circular plate,"purchase, c. g. boerner gift, 2011",3
399078,9,print,horse group #17,0,american,1935,1943,lithograph,"gift of the work projects administration, allocation unit, chicago, 1943",0
399085,9,print,whither mankind,0,american,1935,1943,silkscreen,"gift of the work projects administration, allocation unit, chicago, 1943",0
399877,9,print,"the dream of st joseph, who is sleeping at the right, the virgin and child by a cross surrounded by angels and many putti and with god the father above",9,italian,1600,1650,etching,"the elisha whittelsey collection, the elisha whittelsey fund, 1951",8
400013,9,baseball card,"sullivan, left field, chicago, from the gold coin series (n284) for gold coin chewing tobacco",0,american,1887,1887,commercial color lithography reproducing drawings,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
400018,9,print,section and elevation of the colosseum in rome,9,italian,1581,1581,etching,"bequest of phyllis massar, 2011",8
404850,9,print,"chairing the members, plate iv: four prints of an election",11,french,1758,1758,etching and engraving; third state of three,"gift of sarah lazarus, 1891",10
410156,9,print,"george bubear, oarsman, from world's champions, series 1 (n28) for allen & ginter cigarettes",0,american,1887,1887,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
410683,9,baseball card,"louis chiozza; verso: diamond stars, no. 80 (1934 averages)",0,american,1935,1935,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
415848,9,print,"prise de la ville de bone (capture of the city of bonne), from la vie de ferdinand ier de médicis série appelée aussi les batailles des médicis (the life of ferdinand i de'medici also called the medici battles)",11,french,1614,1620,engraving; first state of two (lieure),"the elisha whittelsey collection, the elisha whittelsey fund, 1951",10
417951,9,print,the impossibility,3,german,1548,1548,engraving,"gift of harry g. friedman, 1959",3
419823,9,print,"s. antioche, médecin (st. antiochus, doctor), july 15th, from les images de tous les saincts et saintes de l'année (images of all of the saints and religious events of the year)",11,french,1636,1636,etching; second state of two (lieure),"purchase, joseph pulitzer bequest, 1917",10
428594,9,print,sea-bass fisherman,0,american,1900,1931,etching,"robert b. dodson fund, 1931",0
428786,9,print,reverse copy of madame bouthillier (marie de bragelogne),11,french,1810,1820,engraving,"gift of georgiana w. sargent, in memory of john osborne sargent, 1924",10
430474,9,print,"reconnoitering, from the boy scouts series (e42) for the fisher candy co.",0,american,1910,1910,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
431102,9,print,vues de st. petersbourg,11,french,1840,1840,"lithography, hand-colored","gift of robert d. brewster, 1951",10
433636,9,"baseball card, print","fitzgerald, sacramento, pacific coast league, from the ""obak baseball players"" set (t212), issued by the american tobacco company to promote obak mouthpiece cigarettes",0,american,1910,1910,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
